UnitID,Institution Name,Number of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2122_RV),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2122_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA2122_RV),Average amount Pell grant aid awarded to undergraduate students (SFA2122_RV),Percent of undergraduates  who are formally registered as students with disabilities  when percentage is more than 3 percent (IC2021_RV),
221759,The University of Tennessee-Knoxville,21632,86,11518,4789,6,
221768,The University of Tennessee-Martin,5540,92,8333,4860,5,
228769,The University of Texas at Arlington,22614,69,7992,4641,,
228778,The University of Texas at Austin,28449,70,10302,4929,,
228787,The University of Texas at Dallas,14397,67,12494,4726,,
228796,The University of Texas at El Paso,16872,84,8236,4761,,
229027,The University of Texas at San Antonio,20934,71,7753,4534,,
228802,The University of Texas at Tyler,4949,69,8533,4964,5,
229018,The University of Texas Permian Basin,3236,72,8441,4853,,
227368,The University of Texas Rio Grande Valley,23447,89,7475,5217,,
221519,The University of the South,1661,96,32824,4946,14,
216357,Thiel College,744,95,27124,4809,9,
216366,Thomas Jefferson University,3156,84,25483,4621,7,
206048,Tiffin University,1586,72,16616,4799,,
221892,Trevecca Nazarene University,1664,87,17414,4385,,
229267,Trinity University,2459,97,32553,4881,13,
221953,Tusculum University,1148,93,16908,4754,4,
221971,Union University,1792,90,22725,4594,6,
241191,Universidad Adventista de las Antillas,678,79,3027,2900,8,
241225,Universidad Central de Bayamon,752,99,7518,5275,,
243568,Universidad Central Del Caribe,95,97,4632,4624,,
243443,Universidad del Sagrado Corazon,2640,73,6023,5303,,
363934,University of Advancing Technology,670,83,6290,4215,,
445188,University of California-Merced,7341,88,24089,5671,,
206941,University of Central Oklahoma,8205,69,6189,4346,,
237312,University of Charleston,1361,63,17473,4301,,
224323,University of Dallas,1476,98,32922,5119,5,
225511,University of Houston,25620,66,9585,4868,,
225414,University of Houston-Clear Lake,5125,76,6394,4471,,
225432,University of Houston-Downtown,10940,80,6659,4622,6,
225502,University of Houston-Victoria,2284,75,7006,4406,,
232609,University of Lynchburg,1589,97,27964,4825,10,
226471,University of Mary Hardin-Baylor,2970,95,15503,4615,7,
232681,University of Mary Washington,2489,68,7883,4718,10,
262086,University of Massachusetts Global,3108,59,5734,3935,,
220862,University of Memphis,14054,84,8469,5661,4,
456959,University of Minnesota-Rochester,488,76,10973,5190,14,
227216,University of North Texas,29423,90,7417,4543,4,
207500,University of Oklahoma-Norman Campus,17243,82,10069,4817,4,
209551,University of Oregon,13187,71,10829,5019,10,
215062,University of Pennsylvania,5720,51,47776,5210,12,
215266,University of Pittsburgh-Bradford,1113,96,13620,4852,10,
215275,University of Pittsburgh-Greensburg,1234,93,10610,4630,,
215284,University of Pittsburgh-Johnstown,1986,94,10300,4629,,
215293,University of Pittsburgh-Pittsburgh Campus,15796,66,11497,4712,4,
215309,University of Pittsburgh-Titusville,33,100,11970,4405,,
209825,University of Portland,3544,99,31849,5043,10,
243151,University of Puerto Rico at Cayey,2340,85,6059,5161,5,
243212,University of Puerto Rico at Ponce,2140,95,8941,5238,6,
243106,University of Puerto Rico-Aguadilla,1819,83,6558,5263,7,
243115,University of Puerto Rico-Arecibo,3055,98,8258,5440,,
243133,University of Puerto Rico-Bayamon,2504,75,4959,2695,5,
243142,University of Puerto Rico-Carolina,2139,90,7859,4653,,
243179,University of Puerto Rico-Humacao,2680,94,7554,5320,8,
243197,University of Puerto Rico-Mayaguez,10496,93,7377,5247,,
243221,University of Puerto Rico-Rio Piedras,8532,84,6654,5183,4,
243188,University of Puerto Rico-Utuado,455,100,6042,5120,,
236328,University of Puget Sound,1844,99,32665,4842,22,
217484,University of Rhode Island,12338,84,12715,5005,11,
233374,University of Richmond,2228,70,41231,4992,9,
207722,University of Science and Arts of Oklahoma,761,90,11315,5520,,
215929,University of Scranton,3260,93,27952,4867,9,
219383,University of Sioux Falls,1301,97,9961,4659,5,
218645,University of South Carolina Aiken,2899,93,7204,5058,5,
218654,University of South Carolina Beaufort,1633,81,8655,5167,8,
218663,University of South Carolina-Columbia,25051,93,6907,5051,7,
218672,University of South Carolina-Lancaster,1573,87,3694,4832,,
218681,University of South Carolina-Salkehatchie,776,93,4573,4896,,
218690,University of South Carolina-Sumter,1346,95,3595,4317,,
218706,University of South Carolina-Union,1115,90,2908,4945,,
218742,University of South Carolina-Upstate,4472,90,8442,5250,,
219471,University of South Dakota,3953,57,6850,4579,,
227863,University of St Thomas,1947,73,20383,5245,4,
