instnm,FIPS state code (HD2023),State abbreviation (HD2023),Full-time undergraduate students are enrolled (IC2023),Full time first-time degree/certificate-seeking undergraduate students enrolled (IC2023),Member of National Collegiate Athletic Association (NCAA) (IC2023),NCAA/NAIA member for football (IC2023),NCAA/NAIA member for basketball (IC2023),NCAA/NAIA member for baseball (IC2023),NCAA/NAIA member for cross country/track (IC2023),Open admission policy (IC2023),Total price for in-state students living on campus 2023-24 (DRVIC2023),Total price for out-of-state students living on campus 2023-24 (DRVIC2023),Percent admitted - total (DRVADM2023),Admissions yield - total (DRVADM2023),Full-time retention rate  2023 (EF2023D),Undergraduate enrollment (DRVEF2023),Graduation rate  total cohort (DRVGR2023),Percent of full-time first-time undergraduates awarded any financial aid (SFA2223),Percent of full-time first-time undergraduates awarded institutional grant aid (SFA2223),Admission test scores (ADM2023),Applicants total (ADM2023),Admissions total (ADM2023),Enrolled full time total (ADM2023),Percent of first-time degree/certificate-seeking students submitting SAT scores (ADM2023),Published out-of-state tuition and fees 2023-24 (IC2023_AY),Books and supplies 2023-24 (IC2023_AY),Published in-state tuition and fees 2023-24 (IC2023_AY),In-state average tuition for full-time undergraduates (IC2023_AY),Out-of-state average tuition for full-time undergraduates (IC2023_AY),Number of programs offered (IC2023_PY),Books and supplies 2023-24 (IC2023_PY),Full time total (EF2023  All students  Undergraduate total),Full time men (EF2023  All students  Undergraduate total),Full time women (EF2023  All students  Undergraduate total)
CUNY City College,36,NY,1,1,1,2,1,1,1,2,30778,38728,58,14,79,12356,55,91,68,5,31988,18576,2560,8,15290,1500,7340,6930,14880,,,9993,4848,5145
CUNY Graduate School and University Center,36,NY,1,1,0,2,2,2,2,2,,,39,26,,3237,,,,3,158,61,0,,15360,1500,7410,6930,14880,,,1031,315,716
CUNY Hostos Community College,36,NY,1,1,0,2,2,2,2,1,,,,,57,5526,17,93,48,,,,,,8088,1500,5208,4800,7680,,,2639,970,1669
CUNY Hunter College,36,NY,1,1,1,2,1,2,1,2,24040,31990,54,19,80,17378,61,89,80,5,31614,17087,3118,9,15332,1500,7382,6930,14880,,,13604,4737,8867
CUNY John Jay College of Criminal Justice,36,NY,1,1,1,2,1,1,1,2,,,57,20,81,11678,55,92,71,5,17921,10255,2027,5,15420,1500,7470,6930,14880,,,9507,3454,6053
CUNY Kingsborough Community College,36,NY,1,1,1,2,2,2,2,1,,,,,64,19070,24,87,39,,,,,,8132,1500,5252,4800,7680,,,6017,2795,3222
CUNY LaGuardia Community College,36,NY,1,1,0,2,2,2,2,1,,,,,60,13998,25,91,67,,,,,,8098,1600,5218,4800,7680,,,7282,3255,4027
CUNY Lehman College,36,NY,1,1,1,2,1,1,1,2,,,55,12,74,11227,49,93,72,5,20954,11615,1364,2,15360,1500,7410,6930,14880,,,7396,2667,4729
CUNY Medgar Evers College,36,NY,1,1,1,2,1,2,1,2,,,83,8,52,3846,22,90,65,5,11239,9372,726,1,15302,1500,7352,6930,14880,,,2594,835,1759
CUNY New York City College of Technology,36,NY,1,1,1,2,1,2,1,2,,,81,20,60,13767,19,89,65,5,21007,16962,3166,2,15282,1500,7332,6930,14880,,,9032,5294,3738
CUNY Queens College,36,NY,1,1,1,2,1,1,1,2,29336,37286,69,15,78,13998,60,83,62,5,20800,14252,1998,5,15488,1500,7538,6930,14880,,,10333,5003,5330
CUNY Queensborough Community College,36,NY,1,1,0,2,2,2,2,1,,,,,61,10251,23,87,52,,,,,,8090,1500,5210,4800,7680,,,5327,2771,2556
CUNY School of Law,36,NY,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
CUNY Stella and Charles Guttman Community College,36,NY,1,1,0,2,2,2,2,1,,,,,50,1101,25,100,12,,,,,,8074,1600,5194,4800,7680,,,924,541,383
CUNY System Office,36,NY,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
CUNY York College,36,NY,1,1,1,2,1,2,1,2,,,59,8,60,5906,30,87,60,5,14236,8459,666,2,15308,1500,7358,6930,14880,,,3362,1225,2137
Curry College,25,MA,1,1,1,1,1,1,1,2,67120,67120,92,8,68,1818,48,100,100,5,6903,6354,523,6,46220,1100,46220,43670,43670,,,1651,718,933
Curtis Institute of Music,42,PA,1,1,0,2,2,2,2,2,34075,34075,7,81,97,106,95,100,100,3,446,31,25,,6000,4530,6000,0,0,,,106,60,46
Cutting Edge Academy,34,NJ,1,1,-2,-2,-2,-2,-2,1,,,,,94,94,100,83,0,,,,,,,,,,,5,2100,62,16,46
Cutting Edge Barber Academy,42,PA,1,1,-2,-2,-2,-2,-2,1,,,,,,28,100,80,0,,,,,,,,,,,3,900,27,21,6
Cuyahoga Community College District,39,OH,1,1,0,2,2,2,2,1,,,,,60,17407,29,80,35,,,,,,8736,1700,4622,4622,8736,,,4332,1971,2361
Cuyahoga Valley Career Center,39,OH,1,1,-2,-2,-2,-2,-2,1,,,,,80,90,46,100,0,,,,,,,,,,,12,2130,32,0,32
Cuyamaca College,6,CA,1,1,0,2,2,2,2,1,,,,,72,8437,34,92,2,,,,,,10636,1200,1340,1288,10584,,,1985,1001,984
CVPH Medical Center School of Radiologic Technology,36,NY,1,1,-2,2,2,2,2,2,,,41,86,100,19,50,82,0,3,17,7,6,,,,,,,1,2880,19,5,14
CyberTex Institute of Technology,48,TX,1,1,-2,-2,-2,-2,-2,1,,,,,86,195,95,99,9,,,,,,,,,,,4,,195,85,110
Cypress College,6,CA,1,1,0,2,2,2,2,1,,,,,,13992,35,89,0,,,,,,9399,2267,1150,1104,9312,,,5206,2357,2849
D A Dorsey Technical College,12,FL,1,1,-2,-2,-2,-2,-2,1,,,,,1,275,11,43,43,,,,,,,,,,,6,300,116,42,74
D&S School of Cosmetology,26,MI,1,1,-2,-2,-2,-2,-2,1,,,,,100,3,100,100,0,,,,,,,,,,,2,800,3,0,3
D'Youville  University,36,NY,1,1,1,2,1,1,1,2,49560,49560,82,13,72,1299,57,70,69,5,2295,1890,232,18,33560,1200,33560,32400,32400,,,1068,297,771
Daemen University,36,NY,1,1,1,2,1,2,1,2,50164,50164,76,16,80,1806,58,100,100,3,3041,2316,374,,33724,1000,33724,33054,33054,,,1657,436,1221
Dakota College at Bottineau,38,ND,1,1,0,2,2,2,2,1,18867,21133,,,70,1180,53,82,49,,,,,,7613,1000,5347,4530,6796,,,306,133,173
Dakota County Technical College,27,MN,1,1,0,1,1,1,2,1,,,,,68,2662,45,77,22,,,,,,6419,1200,6419,5759,5759,,,1377,873,504
Dakota State University,46,SD,1,1,0,1,1,1,1,2,26109,29211,98,41,75,2950,49,95,79,5,988,967,388,11,12735,1200,9633,7616,10718,,,1533,1029,504
Dakota Wesleyan University,46,SD,1,1,0,1,1,1,1,2,43840,43840,73,22,69,767,46,100,100,3,1153,839,184,,32890,1500,32890,31700,31700,,,618,305,313
Dallas Baptist University,48,TX,1,1,1,2,1,1,1,2,52870,52870,91,8,64,2850,60,93,89,5,8018,7303,567,32,38140,1320,38140,36510,36510,,,2159,919,1240
Dallas Barber & Stylist College,48,TX,1,1,-2,-2,-2,-2,-2,1,,,,,88,30,78,85,0,,,,,,,,,,,1,700,30,24,6
Dallas Christian College,48,TX,1,1,0,2,2,2,2,2,37161,37161,84,34,39,278,24,100,96,5,313,263,88,47,20260,1300,20260,19200,19200,,,243,163,80
Dallas College,48,TX,1,1,0,2,2,2,2,1,,,,,89,66592,36,74,25,,,,,,6000,440,4050,4050,6000,,,16794,7529,9265
Dallas Institute of Funeral Service,48,TX,1,1,0,2,2,2,2,1,,,,,21,483,26,74,0,,,,,,13496,0,13496,12394,12394,,,265,70,195
Dallas Theological Seminary,48,TX,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Dalton Institute of Esthetics and Cosmetology,13,GA,1,1,-2,-2,-2,-2,-2,1,,,,,90,71,7,44,0,,,,,,,,,,,4,3000,52,0,52
Dalton State College,13,GA,1,1,0,2,1,2,1,1,17354,24260,,,60,4902,30,91,3,,,,,,10189,1743,3283,2563,9469,,,2745,1072,1673
Danville Area Community College,17,IL,1,1,0,2,2,2,2,1,,,,,69,2149,38,85,46,,,,,,9200,775,9200,8300,8300,,,857,336,521
Danville Community College,51,VA,1,1,0,2,2,2,2,1,,,,,62,2489,38,87,16,,,,,,10851,2000,4848,4758,10056,,,909,428,481
Daoist Traditions College of Chinese Medical Arts,37,NC,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Dartmouth College,33,NH,1,1,1,1,1,1,1,2,87793,87793,6,67,98,4447,96,59,45,5,28841,1797,1206,43,65739,1005,65739,63684,63684,,,4419,2261,2158
Davenport University,26,MI,1,1,1,1,1,1,1,2,39242,39242,97,16,74,3833,50,100,100,3,3869,3755,485,,23324,904,23324,22272,22272,,,1985,1009,976
David Pressley School of Cosmetology,26,MI,1,1,-2,-2,-2,-2,-2,1,,,,,100,263,83,95,0,,,,,,,,,,,3,850,263,2,261
Davidson College,37,NC,1,1,1,1,1,1,1,2,79475,79475,14,49,95,1904,92,69,65,5,7347,1064,519,30,60300,1000,60300,59510,59510,,,1904,892,1012
Davidson-Davie Community College,37,NC,1,1,0,2,2,2,2,1,,,,,66,3959,42,75,17,,,,,,6586,1290,1978,2125,7772,,,1410,554,856
Davis & Elkins College,54,WV,1,1,1,2,1,1,1,2,46461,46461,58,44,58,683,37,100,100,5,929,541,237,34,31270,1462,31270,30360,30360,,,672,299,373
Davis College,36,NY,1,1,0,2,2,2,2,2,27500,27500,33,100,100,137,39,67,67,3,9,3,3,,17500,600,17500,16800,16800,,,55,32,23
Davis College,39,OH,1,1,0,2,2,2,2,1,,,,,,95,8,75,0,,,,,,14130,2909,14130,12600,12600,,,56,19,37
Davis Technical College,49,UT,1,1,-2,-2,-2,-2,-2,1,,,,,64,3859,59,60,6,,,,,,,,,,,35,1228,525,228,297
Dawn Career Institute LLC,10,DE,1,1,-2,-2,-2,-2,-2,1,,,,,75,385,69,100,0,,,,,,,,,,,7,558,385,134,251
Dawson Community College,30,MT,1,1,0,2,2,2,2,1,19505,22205,,,45,406,38,87,69,,,,,,9135,270,6435,4590,7290,,,194,106,88
Daybreak University,6,CA,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Dayton Barber College,39,OH,1,1,-2,2,2,2,2,1,,,,,88,60,69,81,0,,,,,,,,,,,2,830,60,52,8
Dayton School of Medical Massage,39,OH,1,1,-2,-2,-2,-2,-2,1,,,,,70,425,73,96,0,,,,,,18122,650,18122,17922,17922,,,425,89,336
Daytona College,12,FL,1,1,0,2,2,2,2,1,,,,,,199,72,95,0,,,,,,,,,,,10,6700,199,16,183
Daytona State College,12,FL,1,1,0,2,2,2,2,1,18285,27173,,,,11807,41,73,21,,,,,,11994,1800,3106,3072,11960,,,4530,2083,2447
De Anza College,6,CA,1,1,0,2,2,2,2,1,,,,,82,16990,68,72,2,,,,,,12317,1794,1562,1395,12150,,,6141,3382,2759
Dean College,25,MA,1,1,1,1,1,1,1,2,66652,66652,74,9,76,1151,43,100,100,3,5382,3967,337,,44960,1000,44960,44710,44710,,,1083,525,558
Debutantes School of Cosmetology and Nail Technology,17,IL,1,1,-2,-2,-2,-2,-2,1,,,,,75,65,47,63,3,,,,,,,,,,,3,1800,36,0,36
Defiance College,39,OH,1,1,1,1,1,1,1,2,55392,55392,42,20,61,464,37,99,99,3,1546,656,133,,38778,1400,38778,37978,37978,,,430,272,158
DeHart Technical School,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,89,80,85,78,9,,,,,,,,,,,2,1485,80,79,1
Del Mar College,48,TX,1,1,0,2,2,2,2,1,,,,,,9720,13,83,25,,,,,,6050,1400,4940,2190,3300,,,1573,705,868
Del-Mar-Va Beauty Academy,24,MD,1,1,-2,-2,-2,-2,-2,1,,,,,67,43,60,89,0,,,,,,,,,,,2,3300,43,1,42
Delaware Chenango Madison Otsego BOCES-Practical Nursing Program,36,NY,1,1,-2,-2,-2,-2,-2,1,,,,,0,34,62,100,0,,,,,,,,,,,1,2000,34,6,28
Delaware College of Art and Design,10,DE,1,1,0,2,2,2,2,2,52930,52930,61,35,56,104,41,100,100,3,213,130,44,,30280,3200,30280,28330,28330,,,100,34,66
Delaware County Community College,42,PA,1,1,0,2,2,2,2,1,,,,,61,7638,20,73,4,,,,,,14940,2500,10800,8100,12150,,,1997,995,1002
Delaware County Technical School-Practical Nursing Program,42,PA,1,1,-2,-2,-2,-2,-2,2,,,100,100,95,42,76,74,0,3,15,15,15,,,,,,,1,664,42,7,35
Delaware Learning Institute of Cosmetology,10,DE,1,1,-2,-2,-2,-2,-2,1,,,,,93,73,93,62,0,,,,,,,,,,,6,2500,73,3,70
Delaware State University,10,DE,1,1,1,1,1,1,1,2,30236,40172,62,30,72,4941,39,96,61,5,7542,4651,1288,26,20250,1500,10314,8544,18480,,,4097,1406,2691
Delaware Technical Community College-Central Office,10,DE,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
Delaware Technical Community College-Terry,10,DE,1,1,0,2,2,2,2,1,,,,,,13231,19,86,6,,,,,,11828,2000,4965,4575,11438,,,3979,1606,2373
Delaware Valley University,42,PA,1,1,1,1,1,1,1,2,61090,61090,92,22,66,1759,52,100,100,5,2358,2181,485,18,43300,1000,43300,40680,40680,,,1583,605,978
Delgado Community College,22,LA,1,1,0,2,2,2,2,1,,,,,49,12130,22,98,2,,,,,,4678,1300,4678,3335,3335,,,4123,1403,2720
Dell'Arte International School of Physical Theatre,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,,,,50,0,,,,,,,,,,,1,0,,,
Delta College,26,MI,1,1,0,2,2,2,2,1,,,,,60,7646,17,100,15,,,,,,7550,1650,7250,6420,6720,,,2192,893,1299
Delta College Inc,22,LA,1,1,-2,-2,-2,-2,-2,1,,,,,38,153,69,100,0,,,,,,,,,,,6,1361,153,8,145
Delta College of Arts & Technology,22,LA,1,1,0,2,2,2,2,1,,,,,50,288,41,100,0,,,,,,,,,,,6,1754,288,17,271
Delta College of Arts & Technology-Lafayette Campus,22,LA,1,1,-2,-2,-2,-2,-2,1,,,,,75,183,61,96,0,,,,,,,,,,,4,1361,183,9,174
Delta College-Slidell Campus,22,LA,1,1,-2,-2,-2,-2,-2,1,,,,,56,135,54,88,0,,,,,,,,,,,4,762,135,7,128
Delta State University,28,MS,1,1,1,1,1,1,1,2,22532,22532,100,18,74,1964,47,98,75,1,1242,1238,207,11,8605,1500,8605,8435,8435,,,1407,624,783
Delta Technical College-Mississippi,28,MS,1,1,-2,-2,-2,-2,-2,1,,,,,71,2320,67,97,1,,,,,,,,,,,11,45,2320,1043,1277
Deluxe Barber College,48,TX,1,1,-2,-2,-2,-2,-2,1,,,,,5,103,63,63,0,,,,,,,,,,,2,1900,103,86,17
Denham Springs Beauty School,22,LA,1,1,-2,-2,-2,-2,-2,1,,,,,79,72,62,76,0,,,,,,,,,,,1,1500,72,2,70
Denison University,39,OH,1,1,1,1,1,1,1,2,81900,81900,17,26,89,2405,80,96,95,5,14580,2468,636,26,64000,1000,64000,64000,64000,,,2391,1135,1256
Denmark College,18,IN,1,1,-2,-2,-2,-2,-2,1,,,,,79,178,79,95,0,,,,,,,,,,,4,0,178,110,68
Denmark Technical College,45,SC,1,1,0,2,2,2,2,1,24590,30216,,,52,646,14,100,0,,,,,,11927,1577,6301,5626,11252,,,348,176,172
Dental Assistant Pro LLC-Columbus,39,OH,2,2,-2,-2,-2,-2,-2,1,,,,,,10,,,,,,,,,,,,,,1,,,,
Dental Assistant Pro-Lebanon,39,OH,2,2,-2,-2,-2,-2,-2,1,,,,,,14,,,,,,,,,,,,,,1,,,,
Denver College of Nursing,8,CO,1,2,0,2,2,2,2,-2,,,,,,949,,,,,,,,,,,,18836,18836,,,949,137,812
Denver College of Nursing-Houston,48,TX,1,2,0,2,2,2,2,-2,,,,,,70,,,,,,,,,,,,22613,22613,,,70,7,63
Denver Seminary,8,CO,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
DePaul University,17,IL,1,1,1,2,1,2,1,2,66798,66798,74,12,87,14374,70,99,99,5,32176,23660,2939,29,44460,1104,44460,43379,43379,,,13355,5947,7408
DePauw University,18,IN,1,1,1,1,1,1,1,2,74320,74320,54,13,89,1819,80,100,100,5,7197,3891,500,52,57070,1200,57070,56030,56030,,,1792,901,891
Derech Hachaim Seminary,36,NY,1,1,-2,2,2,2,2,2,,,93,96,100,285,98,100,99,3,226,210,201,,11000,300,11000,11000,11000,,,285,0,285
Dermal Science International Aesthetics and Nail Academy,51,VA,1,1,-2,-2,-2,-2,-2,1,,,,,,35,87,64,0,,,,,,,,,,,4,950,34,0,34
Des Moines Area Community College,19,IA,1,1,0,2,2,2,2,1,16908,22458,,,62,24418,34,73,19,,,,,,11100,810,5550,5550,11100,,,5555,2551,3004
Des Moines University-Osteopathic Medical Center,19,IA,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
DeSales University,42,PA,1,1,1,2,1,1,1,2,64916,64916,79,16,81,2149,71,100,100,5,3636,2857,436,37,44800,1711,44800,43000,43000,,,1847,667,1180
Design Institute of San Diego,6,CA,1,1,0,2,2,2,2,2,,,88,29,71,92,50,100,63,3,8,7,1,,29350,938,29350,29250,29250,,,71,5,66
Design's School of Cosmetology,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,88,93,75,82,0,,,,,,,,,,,2,1765,93,1,92
Designer Barber & Stylist School,5,AR,1,1,-2,-2,-2,-2,-2,1,,,,,90,91,81,92,0,,,,,,,,,,,3,1350,91,73,18
Detroit Business Institute-Downriver,26,MI,1,1,-2,-2,-2,-2,-2,2,,,50,50,100,141,100,100,0,3,16,8,4,,,,,,,1,0,141,6,135
DeVry College of New York,36,NY,1,1,0,2,2,2,2,2,,,100,80,0,175,33,50,0,5,5,5,2,0,17488,400,17488,14392,14392,,,105,67,38
DeVry University-Administrative Office,17,IL,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
DeVry University-Arizona,4,AZ,1,1,0,2,2,2,2,2,,,,,,22,63,,,5,0,,,,17488,400,17488,14392,14392,,,13,10,3
DeVry University-California,6,CA,1,1,0,2,2,2,2,2,,,43,83,72,2083,43,87,77,5,400,173,84,0,17488,400,17488,14392,14392,,,1153,700,453
DeVry University-Colorado,8,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeVry University-Florida,12,FL,1,1,0,2,2,2,2,2,,,100,100,,188,40,,,5,1,1,1,0,17488,400,17488,14392,14392,,,107,41,66
DeVry University-Georgia,13,GA,1,1,0,2,2,2,2,2,,,81,92,100,472,36,100,50,5,16,13,10,0,17488,400,17488,14392,14392,,,318,125,193
DeVry University-Illinois,17,IL,1,1,0,2,2,2,2,2,,,43,83,65,26146,37,98,82,5,6314,2731,1096,1,17488,400,17488,14392,14392,,,11077,4004,7073
DeVry University-Missouri,29,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeVry University-Nevada,32,NV,1,1,0,2,2,2,2,2,,,,,,4,0,,,5,0,,,,17488,400,17488,14392,14392,,,1,0,1
DeVry University-New Jersey,34,NJ,1,1,0,2,2,2,2,2,,,100,100,,68,33,,,5,2,2,2,0,17488,400,17488,14392,14392,,,50,21,29
DeVry University-North Carolina,37,NC,1,1,0,2,2,2,2,2,,,,,,,,,,5,0,,,,17488,400,17488,14392,14392,,,,,
DeVry University-Ohio,39,OH,1,1,0,2,2,2,2,2,,,89,100,,218,45,,,5,9,8,5,0,17488,400,17488,14392,14392,,,125,48,77
DeVry University-Tennessee,47,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeVry University-Texas,48,TX,1,1,0,2,2,2,2,2,,,0,,,26,33,,,5,1,0,,,17488,400,17488,14392,14392,,,13,10,3
DeVry University-Virginia,51,VA,1,1,0,2,2,2,2,2,,,100,100,50,25,100,100,100,5,1,1,1,0,17488,400,17488,14392,14392,,,17,10,7
Dharma Realm Buddhist University,6,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diablo Valley College,6,CA,1,1,0,2,2,2,2,1,,,,,78,16424,46,67,0,,,,,,9012,1190,1312,1288,8304,,,6243,3360,2883
Diamond Beauty College,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,100,73,100,82,0,,,,,,,,,,,4,950,69,4,65
Diamonds College,48,TX,1,1,-2,-2,-2,-2,-2,1,,,,,67,36,61,85,12,,,,,,,,,,,2,1350,36,7,29
Dickinson College,42,PA,1,1,1,1,1,1,1,2,83227,83227,43,17,89,2204,83,95,94,5,7185,3095,525,0,63475,1324,63475,62900,62900,,,2174,859,1315
Dickinson State University,38,ND,1,1,0,1,1,1,1,2,21558,23658,60,45,60,1392,43,94,80,3,831,499,203,,11218,1200,9118,7470,9570,,,949,434,515
Diesel Driving Academy-Baton Rouge,22,LA,1,1,-2,-2,-2,-2,-2,1,,,,,,271,74,89,2,,,,,,,,,,,3,250,271,195,76
Diesel Driving Academy-Shreveport,22,LA,1,1,-2,-2,-2,-2,-2,1,,,,,,222,79,93,0,,,,,,,,,,,3,250,222,162,60
DigiPen Institute of Technology,53,WA,1,1,0,2,2,2,2,2,59292,59292,68,34,73,1042,52,78,51,5,838,570,189,45,37400,2140,37400,37200,37200,,,952,658,294
Digital Film Academy,36,NY,1,1,0,2,2,2,2,1,,,,,33,60,41,37,0,,,,,,,,,,,5,1898,60,53,7
Digital Media Institute,22,LA,1,1,0,2,2,2,2,2,,,32,100,100,13,100,93,36,3,47,15,15,,,,,,,3,0,13,8,5
DiGrigoli School of Cosmetology,25,MA,1,1,-2,-2,-2,-2,-2,1,,,,,5,28,84,43,0,,,,,,,,,,,2,1189,16,1,15
Dillard University,22,LA,1,1,0,2,1,1,1,2,41204,41204,41,8,70,1117,45,100,99,5,8065,3267,246,9,22194,1300,22194,19194,19194,,,1071,283,788
Diman Regional Technical Institute,25,MA,1,1,-2,-2,-2,-2,-2,2,,,64,100,29,56,71,86,0,3,22,14,9,,,,,,,1,1490,40,4,36
Dine College,4,AZ,1,1,0,2,2,2,2,1,12700,12700,,,33,1828,5,67,30,,,,,,1410,1400,1410,1320,1320,,,825,244,581
Divers Institute of Technology,53,WA,1,1,-2,-2,-2,-2,-2,1,,,,,100,279,93,64,2,,,,,,,,,,,1,4000,279,265,14
Diversified Vocational College,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,,224,84,99,0,,,,,,,,,,,4,,224,163,61
Divine Mercy University,51,VA,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Divine Word College,19,IA,1,1,0,2,2,2,2,1,22500,22500,,,,61,100,,,,,,,,15000,300,15000,14800,14800,,,58,28,30
Dixie Technical College,49,UT,1,1,-2,-2,-2,-2,-2,1,,,,,95,1172,85,54,10,,,,,,,,,,,25,599,295,185,110
DLP Conemaugh Memorial Medical Center,42,PA,1,1,-2,2,2,2,2,2,,,43,88,38,108,36,71,0,1,60,26,23,70,,,,,,4,2375,108,21,87
Doane University,31,NE,1,1,0,1,1,1,1,2,57836,57836,90,21,72,1190,56,100,100,3,1289,1154,242,,40491,1000,40491,39336,39336,,,919,500,419
Dodge City Community College,20,KS,1,1,0,2,2,2,2,1,16896,17196,,,54,1757,31,71,46,,,,,,5850,,5550,1800,2100,,,808,462,346
Dolce The Academy,9,CT,1,1,-2,-2,-2,-2,-2,1,,,,,67,42,52,76,0,,,,,,,,,,,2,2250,26,0,26
Dominican School of Philosophy & Theology,6,CA,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Dominican University,17,IL,1,1,1,2,1,1,1,2,52446,52446,80,12,79,2397,62,100,100,5,6536,5216,648,14,37844,1200,37844,37194,37194,,,2166,639,1527
Dominican University New York,36,NY,1,1,1,2,1,1,1,2,53830,53830,79,16,67,1089,57,100,100,5,2319,1828,298,3,33060,1600,33060,32160,32160,,,1022,411,611
Dominican University of California,6,CA,1,1,1,2,1,2,1,2,70926,70926,96,13,88,1182,76,100,99,5,2011,1923,248,5,50666,1152,50666,49821,49821,,,1057,296,761
Don Roberts School of Hair Design,18,IN,1,1,-2,-2,-2,-2,-2,1,,,,,100,30,80,60,0,,,,,,,,,,,5,1800,23,1,22
Dongguk University Los Angeles,6,CA,1,2,0,2,2,2,2,-2,,,,,,4,,,,,,,,,,,,9418,9418,,,1,0,1
Donnelly College,20,KS,1,1,0,2,2,2,2,1,,,,,76,349,38,100,90,,,,,,10350,600,10350,11813,11813,,,192,64,128
Dordt University,19,IA,1,1,0,1,1,1,1,2,51900,51900,71,41,85,1695,65,99,99,5,1595,1135,458,21,35960,1010,35960,35360,35360,,,1531,779,752
Dorsey College,26,MI,1,1,0,2,2,2,2,1,,,,,51,547,38,76,41,,,,,,32160,0,32160,29760,29760,,,547,128,419
Dorsey College-Dearborn,26,MI,1,1,0,2,2,2,2,1,,,,,35,450,28,100,29,,,,,,22800,0,22800,21600,21600,,,450,150,300
Dorsey College-Grand Rapids,26,MI,1,1,-2,-2,-2,-2,-2,1,,,,,68,85,,0,0,,,,,,9295,0,9295,8745,8745,,,85,34,51
Dorsey College-Roseville,26,MI,1,1,0,2,2,2,2,1,,,,,38,443,31,81,46,,,,,,32160,0,32160,29760,29760,,,443,81,362
Dorsey College-Saginaw,26,MI,1,1,-2,-2,-2,-2,-2,1,,,,,49,199,43,100,57,,,,,,32160,0,32160,29760,29760,,,199,40,159
Dorsey College-Wayne,26,MI,1,1,-2,-2,-2,-2,-2,1,,,,,38,203,28,90,48,,,,,,32160,0,32160,29760,29760,,,203,50,153
Dorsey College-Woodhaven,26,MI,1,1,-2,-2,-2,-2,-2,1,,,,,21,212,50,90,36,,,,,,32160,0,32160,29760,29760,,,212,55,157
Dorsey School of Beauty,26,MI,1,1,-2,-2,-2,-2,-2,1,,,,,55,205,54,84,1,,,,,,,,,,,4,0,205,4,201
Douglas Education Center,42,PA,1,1,0,2,2,2,2,1,,,,,87,200,82,93,13,,,,,,18950,4075,18950,18800,18800,,,197,46,151
Douglas J Aveda Institute,26,MI,1,1,-2,2,2,2,2,1,,,,,79,822,67,90,7,,,,,,,,,,,6,2400,822,53,769
Downey Adult School,6,CA,1,1,-2,2,2,2,2,1,,,,,20,844,89,83,0,,,,,,,,,,,8,2384,113,18,95
Dr. Ida Rolf Institute,8,CO,1,1,-2,-2,-2,-2,-2,2,,,100,100,,24,100,67,0,3,1,1,1,,,,,,,1,320,24,10,14
Dragon Rises College of Oriental Medicine,12,FL,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Drake University,19,IA,1,1,1,1,1,2,1,2,67080,67080,64,13,84,2702,77,100,100,5,7741,4964,638,8,49944,1100,49944,49466,49466,,,2607,1031,1576
Drew University,34,NJ,1,1,1,2,1,1,1,2,68495,68495,69,13,84,1624,72,99,98,5,4604,3197,404,28,45360,2035,45360,44260,44260,,,1568,711,857
Drexel University,42,PA,1,1,1,2,1,2,2,2,81413,81413,78,9,90,13589,77,99,99,5,40204,31171,2852,38,60663,1700,60663,58293,58293,,,12505,6512,5993
Drury University,29,MO,1,1,1,2,1,1,1,2,50621,50621,59,22,77,1368,66,100,100,5,2621,1543,334,7,35235,1200,35235,33900,33900,,,1350,641,709
Drury University-College of Continuing Professional Studies,29,MO,1,1,0,2,2,2,2,1,22476,22476,,,38,716,32,92,58,,,,,,8044,1000,8044,7800,7800,,,441,141,300
DSDT,26,MI,1,1,-2,-2,-2,-2,-2,1,,,,,,202,56,28,7,,,,,,,,,,,8,4700,202,119,83
